id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCDMTPO21N000000450,장소,문화시설,18223668,양구작은영화관,,,100202,일반극장/영화관,4280025021103530001,강원도,양구군,양구읍,하리,353-1,4280025023,4280025000,428004496061,함춘로,25-9,127.984475216633,38.109545603562,라아424122,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000451,장소,문화시설,18419990,THC9,,,100202,일반극장/영화관,4115010100104940000,경기도,의정부시,의정부동,,494,4115010100,4115052000,411503181060,시민로,80,127.044058794234,37.7380270780631,다사598710,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000452,장소,문화시설,18510055,놀숲군산수송점,,,92005,비디오/DVD감상실,4513014100108310000,전라북도,군산시,수송동,,831,4513014100,4513069000,451304604252,동수송안길,31,126.716749048628,35.9667338546057,다마293747,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000453,장소,문화시설,19504399,인터파크시어터,,,100202,일반극장/영화관,1117013100107270056,서울특별시,용산구,한남동,,727-56,1117013100,1117068500,111703102009,이태원로,294,127.002330655357,37.5408992938464,다사560491,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000454,장소,문화시설,20632665,메가박스,용인테크노밸리점,,100212,메가박스,4146311400105560000,경기도,용인시 기흥구,청덕동,,556,4146311400,4146356000,414633204013,구성로,357,127.148484732142,37.291205097565,다사688214,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000455,장소,문화시설,20935504,메가박스,성수점,,100212,메가박스,1120011400106560335,서울특별시,성동구,성수동1가,,656-335,1120011400,1120065000,112003005011,왕십리로,50,127.045008448771,37.5418702255385,다사598492,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000456,장소,문화시설,21686594,씨네아트,,,92005,비디오/DVD감상실,4148010100100540033,경기도,파주시,금촌동,,54-33,4148010100,4148051000,414803206112,문화로,102,126.774766969074,37.763376986366,다사361739,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000457,장소,문화시설,21688264,아카데미프리즌,,,92005,비디오/DVD감상실,2641010800104240024,부산광역시,금정구,장전동,,424-24,2641010800,2641061000,264103130022,금강로,243,129.084567076943,35.2299572636476,마라441938,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000458,장소,문화시설,21688276,씨네맥스,,,92005,비디오/DVD감상실,2911011700100740000,광주광역시,동구,황금동,,74,2911011700,2911052500,291104277238,충장로안길,40-2,126.917209686028,35.1468442789017,다라469836,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
KCDMTPO21N000000459,장소,문화시설,7233010,63IMAX영화관,,,100202,일반극장/영화관,1156011000100600000,서울특별시,영등포구,여의도동,,60,1156011000,1156054000,115603118001,63로,50,126.940107315957,37.519195188628,다사505468,20210916172701,KT,KC_497_DMSTC_MCST_THEART_2021,20210916
